,conceptType,conceptUri,skillType,reuseLevel,preferredLabel,altLabels,hiddenLabels,status,modifiedDate,scopeNote,definition,inScheme,description
989,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/126da6db-593e-4dd2-b35d-86f599a622f6,skill/competence,sector-specific,mix ink,"blend ink
stir ink
mixing ink
prepare ink
mix inks",,released,2024-02-09T17:29:12.215Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036",Tend a computer-guided dispenser that mixes different shades of ink to obtain the desired colour.
1001,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/12b7d5a1-1ad4-45dc-b0fa-b31d1eb2c79a,skill/competence,occupation-specific,maintain pricing database,"sustain pricing database
maintain pricing databases
preserve pricing database
maintaining a pricing database
control pricing database
manage pricing database
maintain a pricing database",,released,2024-02-09T17:29:12.215Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036",Maintain internal and external database to ensure that all pricing data are permanently accurate and up-to-date.
1003,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/12c82224-6394-4c3c-9831-2a8198ed1274,knowledge,cross-sector,optical character recognition software,"OCRopus
(a9t9) FreeOCR
Puma.NET
SimpleOCR
LEADTOOLS
ReadSoft
OCR
Ocrad
MeOCR
ExperVision TypeReader & RTK
Dynamsoft OCR SDK
Scantron
Asprise OCRSDK
FreeOCR
CuneiForm
Microsoft Office Document Imaging
AnyDoc Software
Microsoft Office OneNote 2007
GOCR
Tesseract
SmartScore
MathOCR
Nicomsoft OCR SDK
OCRFeeder","OCRopus
(a9t9) FreeOCR
Puma.NET
SimpleOCR
LEADTOOLS
ExperVision TypeReader & RTK
Dynamsoft OCR SDK
FreeOCR
AnyDoc Software
Ocrad
Microsoft Office OneNote 2007
GOCR
Microsoft Office Document Imaging
Asprise OCRSDK
OCRFeeder
Tesseract
ReadSoft
MeOCR
Nicomsoft OCR SDK
MathOCR
Scantron
CuneiForm
SmartScore",released,2024-02-09T17:29:12.952Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","The software that electronically converts printed and typed images into machine-encoded text so that documents can be electronically stored, edited and digitally displayed."
1033,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/13666d7d-41a8-42b6-80ba-34ea6a64667f,knowledge,occupation-specific,particle animation,"particle animation software
particles movement simulation
particle simulation software
particle based animation",,released,2025-06-25T08:20:05.218Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","The field of particle animation, an animation technique in which large numbers of graphic objects are used to simulate phenomena, such as flames and explosions and 'fuzzy phenomena' that are difficult to reproduce using conventional rendering methods."
1049,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/13bdd41a-2a18-441f-96db-41252c519413,knowledge,sector-specific,Visual Basic,"VB.NET
.NET
Visual Studio .NET
Visual Studio
VB",,released,2025-04-16T09:55:37.546Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","The techniques and principles of software development, such as analysis, algorithms, coding, testing and compiling of programming paradigms in Visual Basic."
1069,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/14029d35-3831-4176-be75-da64e6024e6f,knowledge,occupation-specific,alarm systems,"home security alarm systems
alarms
alarm system
security alarm systems
office security alarm systems",,released,2024-02-09T17:29:12.952Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","Security systems in buildings and on properties automatically alarming security companies or producing acoustic or audio-visual signals when break-in, theft or damage of property is detected."
1072,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/14062e1c-6540-4cb6-b343-ad419e3d10ac,knowledge,sector-specific,blockchain components,"blockchain
blockchain concepts",,released,2023-11-29T16:33:52.245Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","The study of essential blockchain components and concepts such as peer networks, smart contracts, memberships, events, ledgers, system integration, wallets, and system management."
1082,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/143769cb-b61e-47d8-a61e-eedfbec1016c,knowledge,cross-sector,business intelligence,"business analytics
BI
business intelligence tools",,released,2025-06-25T08:20:05.218Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036",The tools used to transform large amounts of raw data into relevant and helpful business information.
1090,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/14525f24-afb4-4a4e-80a7-facf27080cdd,skill/competence,sector-specific,manage digital libraries,"manage a digital library
managing digital libraries
coordinate digital libraries
handle digital libraries",,released,2024-02-09T17:29:09.851Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","Collect, manage and preserve for permanent access digital content and offer to targeted user communities specialised search and retrieval functionality."
1097,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/14764a75-3104-4875-ba1d-57c059b9b013,knowledge,cross-sector,telecommunications engineering,"telecoms engineering
tele-communications engineering
telephone engineering
engineering of telecommunications
telecommunications technology",,released,2024-02-09T17:29:15.235Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036",Discipline that combines computer science with electrical engineering to improve telecommunications systems.
1100,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/14832d87-2f2f-4895-b290-e4760ebae42a,skill/competence,cross-sector,solve technical problems,"resolve technical issues
diagnose technical problems",,released,2025-06-25T12:15:04.406Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036,
http://data.europa.eu/esco/concept-scheme/digcomp","Identify technical problems when operating devices and using digital environments, and solve them (from trouble-shooting to solving more complex problems)."
1117,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/14ced458-5f4b-495f-bd3d-9c240614bda0,knowledge,sector-specific,Adobe Photoshop,"Adobe Photoshop Elements
Adobe Photoshop CC","Adobe Photoshop CS3
Adobe Photoshop CS5
Adobe Photoshop CS4
Adobe Photoshop CS6",released,2023-06-08T15:19:09.883Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036",The computer program Adobe Photoshop is a graphical ICT tool which enables digital editing and composition of graphics to generate both 2D raster or 2D vector graphics. It is developed by the software company Adobe.
1120,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/14d1e367-3efe-4ec5-86ae-eca48710ee4e,skill/competence,sector-specific,implement ICT security policies,"implementing computer network safety policies
implementing ICT safety policies
implement computer network safety policies
implement ICT safety policies
implement computer network security policies
apply on-line safety guidelines
ICT safety policies implementing
apply on-line security guidelines
on-line security guidelines applying
on-line safety guidelines applying",,released,2023-04-12T15:11:35.126Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","Implement statements, assertions or rules that specify the appropriate use and protection of the ICT assets and systems from an organisation. These ICT security policies cover topics such as data classification, password management, access control and incident response."
1134,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/14fdac88-6d4a-4e47-9df5-02c6d1e86fdd,knowledge,sector-specific,IBM InfoSphere DataStage,"Cognos Data Manager
InfoSphere DataStage MVS Edition
IBM InfoSphere DataStage Workgroup Edition",,released,2024-02-09T17:29:09.009Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","The computer program IBM InfoSphere DataStage is a tool for integration of information from multiple applications, created and maintained by organisations, into one consistent and transparent data structure, developed by the software company IBM."
1153,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1557b114-8222-46d5-acff-d2838909c302,skill/competence,sector-specific,provide connected car solutions,"deliver connected car solutions
supply connected vehicle solutions",,released,2023-11-29T16:29:45.834Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","Provide technological applications and services which enable cars to be connected to the internet for data transmission. Connected car solutions involve leveraging technologies such as GPS, sensors, or data analytics to provide connectivity and remote access services to devices."
1154,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1558e8f3-67c9-4be6-bf2c-c5ab7b6de5f9,skill/competence,sector-specific,operate electronic payment terminals,"perform transactions using electronic payment terminals
take payments using electronic payment devices
collect debit of credit card payments using electronic payment terminals
use electronic payment terminals
use electronic payment devices
utilise electronic payment terminals
conduct transactions using electronic payment terminals
utilise electronic payment devices
collect payments using electronic payment devices
operate electronic payment devices",,released,2024-02-09T17:29:09.009Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036",Operate electronic payment terminals to collect credit or debit card payments from the travellers.
1167,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/15c522eb-cd6d-4b00-9d95-db20c0f8df88,knowledge,occupation-specific,energy saving potential of automated shift systems,"efficiency gains from automated shifts
efficiency gains from automated shifts systems",,released,2024-02-27T08:51:42.328Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/green,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036",Potential to save energy in automated shift systems through mechanisms such as improved efficiency and better anticipation of upcoming events.
1188,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1605025e-a179-421f-8f35-5b07d182a6b2,knowledge,cross-sector,web analytics,,Google Analytics,released,2025-02-27T12:45:08.961Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","The characteristics, tools and techniques for measurement, collection, analysis and reporting of web data to get information on the users' behaviour and to improve the performance of a website."
1200,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/162c7407-14ec-43ef-a4c2-31ccd1267850,skill/competence,cross-sector,design firmware,"creating firmware
create firmware
designing firmware
firmware designing
firmware creating",,released,2024-02-09T17:29:10.678Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036",Design the appropriate firmware to a specific electronic system.
1212,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/16636767-c215-4cf0-b126-e144fea20926,skill/competence,sector-specific,use e-health and mobile health technologies,"use mobile and e-health
use mobile health applications
use mobile health technologies
use electronic health applications and technologies
promote e-health and mobile health",,released,2024-02-09T17:29:09.851Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036",Use mobile health technologies and e-health (online applications and services) in order to enhance the provided healthcare.
1225,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/16a00c69-9c74-4c37-96d7-6301d285e5ce,skill/competence,cross-sector,use e-services,"use online payment solutions
make use of e-services
use electronic services
engage in citizenship through digital technologies
able to use e-services
apply e-services
utilise e-services",,released,2024-02-12T08:36:46.077Z,"Includes e-commerce, e-governance, e-banking, e-health services and online payment activities.",,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036,
http://data.europa.eu/esco/concept-scheme/digcomp",Participate in society through the use of public and private digital services. Seek opportunities for self-empowerment and for participatory citizenship through appropriate digital technologies.
1244,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/16e462b2-b8dd-4842-8c31-71d0fb4be474,knowledge,sector-specific,digital journalism,online journalism,,released,2023-11-29T16:24:58.948Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036",The process through which the editorial content is produced through digital media and distributed through the Internet.
1255,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/172020d1-e151-445b-8173-e2a5fb16fe51,skill/competence,sector-specific,utilise computer-aided software engineering tools,"utilise CASE tools for software design
utilize CASE tools for software design
utilize computer-aided software engineering tools
utilise CASE tools
use CASE tools",,released,2024-02-23T09:38:31.552Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","Use software tools (CASE) to support the development lifecycle, design and implementation of software and applications of high-quality that can be easily maintained."
1262,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/17702c40-e963-4593-847e-a332b1c9357e,knowledge,sector-specific,Edmodo,"Edmodo online learning tool
Edmodo e-learning platform
Edmodo education platform",,released,2025-06-25T08:20:05.218Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","The education network Edmodo is an e-learning platform for creating, administrating, arranging, reporting and delivering e-learning training and connecting teachers, students and parents."
1263,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1774bd31-8893-44cf-9498-7e3d95508419,knowledge,cross-sector,screen reader,"assistive technology for reading
text-to-speech software",JAWS,released,2023-10-26T10:18:14.199Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","Software program which converts screen elements such as text, images, or buttons, displayed in the computer into Braille or speech. Assistive technology used by visually impaired or blind people to interpret what appears on the computer screen through braille output, audio icons or speech synthesisers."
1281,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/17c9a790-5664-4673-8237-c4cf3c5a8da5,skill/competence,cross-sector,conduct impact evaluation of ICT processes on business,"evaluate ICT process impact
carry out ICT process impact evaluation",,released,2025-06-25T08:45:06.159Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036",Evaluate the tangible consequences of the implementation of new ICT systems and functions on the current business structure and organisational procedures.
1308,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1859883d-c047-4fe1-8e74-7bb4385d6ad2,skill/competence,sector-specific,apply 3D imaging techniques,"create 3D vector graphics
apply curve modelling
apply digital scuplting
edit point clouds
implement 3D imaging techniques",,released,2025-06-25T12:15:04.406Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","Implement a variety of techniques such as digital sculpting, curve modelling and 3D scanning to create, edit, preserve and use 3D images, such as point clouds, 3D vector graphic and 3D surface shapes."
1326,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/18ab25a5-ce2d-4cd5-b7b0-3890f595f77d,skill/competence,sector-specific,manage alarm system,"alarm device
intrusion detection system",,released,2024-02-09T17:29:12.952Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036",Set up and maintain system for detection of intrusions and unauthorised entries into a facility.
1341,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/18eeffee-2879-42e0-b5fe-5739c6883a01,skill/competence,occupation-specific,develop data link services for navigation purposes,"develop data link services for air-ground communication
apply data link services for air-ground communication
implement satellite technologies and data link services for navigation purposes
apply data link services and satellite technologies for navigation purposes
implement data link services and satellite technologies for navigation purposes
create data link services for air-ground communication
develop data link services for air-ground communication operations
create data link services for navigation purposes
apply satellite technologies for air-ground communication
develop data link services for navigation",,released,2024-02-09T17:29:10.678Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036",Develop and implement data link services and satellite technologies for air-ground communication operations.
1361,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1973c966-f236-40c9-b2d4-5d71a89019be,skill/competence,cross-sector,use spreadsheets software,"Google Sheets
PlanMaker
Gnumeric
OxygenOffice Professional Calc
ResolverOne
ThinkFree Office Calc
CellPro
Simple Spreadsheet
Corel Calculate
MS Excel
wikiCalc
Calligra Sheets
QT Calc Express
Lotus 1-2-3
Quantrix Modeler
Dolphinity Planner
Kingsoft Spreadsheet
Sheetster
Accel Spreadsheet
LibreOffice Calc
Microsoft Office Excel
use spreadsheets program
IBM Lotus Symphony Spreadsheets
Household Budget Worksheet
design spreadsheets
Myrtle
Ability Office Spreadsheet
DhtmlxSpreadsheet
OOo4Kids Calc
Lotus Improv
Sphygmic Software Spreadsheet
Zoho Sheet","Gnumeric
ThinkFree Office Calc
Corel Calculate
Lotus 1-2-3
Kingsoft Spreadsheet
ResolverOne
Sheetster
Dolphinity Planner
OOo4Kids Calc
Zoho Sheet
Household Budget Worksheet
Microsoft Office Excel
Myrtle
Google Sheets
PlanMaker
Lotus Improv
LibreOffice Calc
IBM Lotus Symphony Spreadsheets
Calligra Sheets
Accel Spreadsheet
Sphygmic Software Spreadsheet
DhtmlxSpreadsheet
QT Calc Express
Quantrix Modeler
Ability Office Spreadsheet
OxygenOffice Professional Calc
wikiCalc
Simple Spreadsheet
CellPro",released,2025-04-16T09:58:38.25Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","Use software tools to create and edit tabular data to carry out mathematical calculations, organise data and information, create diagrams based on data and to retrieve them."
1375,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/19a8293b-8e95-4de3-983f-77484079c389,knowledge,sector-specific,Java (computer programming),"Java 2
Java 2 enterprise edition
Java",,released,2025-04-16T10:01:06.975Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","The techniques and principles of software development, such as analysis, algorithms, coding, testing and compiling of programming paradigms in Java."
1383,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/19c0e68e-6e6c-4698-85dc-ef66a9de2c37,skill/competence,cross-sector,maintain information network hardware,"maintaining information network hardware
maintain network hardware
keep information network hardware in good condition
oversee information network hardware
keep up information network hardware",,released,2024-02-09T17:29:09.851Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","Assess the functionality and identify faults in the infrastructure of an information network, perform routine maintenance tasks which prevent failure and repair tasks in order to ensure permanent availability to system users."
1406,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1a165a9b-2006-49e1-90b8-c0709933b4a3,skill/competence,sector-specific,use a complex communication system,"use complex communication systems
employ a complex communication system
using a complex communication system
utilize a complex communication system",,released,2025-02-27T12:45:08.961Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036",Install and operate complex communication systems.
1417,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1a4cc54f-1e53-442b-a6d2-1682dc8ef8f9,skill/competence,cross-sector,creatively use digital technologies,"use digital technologies for cognitive tasks
use digital technologies for process innovation
use digital technologies for product innovation
use digital technologies to resolve conceptual problems
use digital technologies for problem-solving in digital environments",,released,2025-06-25T12:15:04.406Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036,
http://data.europa.eu/esco/concept-scheme/digcomp",Use digital tools and technologies to create knowledge and to innovate processes and products. Engage individually and collectively in cognitive processing to understand and resolve conceptual problems and problem situations in digital environments.
1439,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1abcc511-ba5a-42e0-8d88-7efb39af4c36,skill/competence,sector-specific,operate automatic cutting systems for footwear and leather goods,"operate automatic cutting systems for footwear
use automatic cutting systems for footwear and leather goods
use automatic cutting systems for footwear and leatherwear
use automatic cutting systems for footwear and leather products
operate automatic cutting systems for footwear and leatherwear
operate automatic cutting systems for leather goods",,released,2024-02-09T17:29:16.725Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","Work with the equipment's software. Digitise and mark the leather areas with faults in order to avoid them. Establish nesting and cutting restrictions for each pattern. Pick up, sort, upload patterns, check and complete cutting orders. Adjust the machines and equipment parameters and perform simple procedures for maintenance."
1448,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1adec82b-e32b-4acc-bd89-e7d61d387161,skill/competence,occupation-specific,record audio materials,"capture audio materials
record audio
audio recording
audio material recording",,released,2024-02-09T17:29:15.968Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","Record materials such as books, newspapers, and educational materials in audio format. Enhance written texts by adding audio complements or making them otherwise accessible to visually impaired people."
1462,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1b2889c2-154d-4e5f-b7d1-bd1f07df86ab,skill/competence,sector-specific,create animated narratives,"create narratives that are animated
create narratives using animation
develop narratives using animation
create narrative using animation techniques",,released,2024-02-09T17:29:11.47Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","Develop animated narrative sequences and story lines, using computer software and hand drawing techniques."
1478,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1b70a55d-b8a4-49fc-96c6-15ab4cff2522,skill/competence,cross-sector,use data processing techniques,"use a data processing technique
apply data processing technique
make use of data processing techniques
utilize data processing techniques
gather and analyse data",,released,2024-02-09T17:29:13.7Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","Gather, process and analyse relevant data and information, properly store and update data and represent figures and data using charts and statistical diagrams."
1482,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1b7c716e-af95-4cda-a42f-6479c8b139f5,knowledge,sector-specific,MDX,MultiDimensional eXpressions,,released,2024-02-09T17:29:14.494Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036",The computer language MDX is a query language for retrieval of information from a database and of documents containing the needed information. It is developed by the software company Microsoft.
1497,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1bba98a7-92b9-450b-9235-e0c905f8f3c4,knowledge,sector-specific,information architecture,"data architecture
information system design",,released,2025-06-25T08:20:05.218Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","The methods through which information is generated, structured, stored, maintained, linked, exchanged and used."
1501,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1bc718b6-ed90-4a9d-9fa7-8cec928a4581,skill/competence,occupation-specific,use creative suite software,"apply creative suite software
operate creative suite software
creative suite software use
using creative suite software
employ creative suite software",,released,2024-02-09T17:29:12.952Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036",Use a creative software suite such as ''Adobe'' to aid in graphic designing.
1516,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1c00bc98-2713-4c62-82c5-6d86f2e6a4cb,knowledge,sector-specific,principles of animation,"kinematics
body motion animation principles
character animation
body motion technique
body motion animation techniques",,released,2025-06-25T08:20:05.218Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","The principles of 2D and 3D animation, such as body motion, kinematics, overshoot, anticipation, squash and stretch."
1520,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1c2978b8-bb0d-4249-9c23-877571a4dffa,knowledge,sector-specific,cloud security and compliance,"cloud safety and compliance
cloud safety
cloud security
cloud compliance",,released,2022-07-05T14:37:59.932Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","Cloud security and compliance concepts, including shared responsibility model, cloud access management capabilities, and resources for security support."
1525,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1c43679a-c6fc-4b42-bb8b-452a34ae9b73,skill/competence,sector-specific,use chromatography software,"chromatography software using
chromatography software applying
applying chromatography software
using chromatography software
apply chromatography software",,released,2024-02-09T17:29:15.968Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036",Use the chromatography data system software which collects and analyses the chromatography detectors results.
